Year,Amount,Type of good
,,"Basic metals; fabricated metal products, except machinery and equipment"
2020,"21,734","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2021,"24,612","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2022,"21,995","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2008,"20,464",Machinery and equipment
,,Machinery and equipment
2009,"18,687",Machinery and equipment
,,Machinery and equipment
2010,"23,491",Machinery and equipment
,,Machinery and equipment
2011,"24,408",Machinery and equipment
,,Machinery and equipment
2012,"23,494",Machinery and equipment
,,Machinery and equipment
2013,"26,373",Machinery and equipment
,,Machinery and equipment
2014,"23,998",Machinery and equipment
,,Machinery and equipment
2015,"24,934",Machinery and equipment
,,Machinery and equipment
2016,"26,231",Machinery and equipment
,,Machinery and equipment
2017,"26,918",Machinery and equipment
,,Machinery and equipment
2018,"25,652",Machinery and equipment
,,Machinery and equipment
2019,"28,421",Machinery and equipment
,,Machinery and equipment
2020,"26,461",Machinery and equipment
,,Machinery and equipment
2021,"29,775",Machinery and equipment
,,Machinery and equipment
2022,"28,971",Machinery and equipment
,,Machinery and equipment
2008,"15,474",Transport equipment
,,Transport equipment
2009,"11,620",Transport equipment
,,Transport equipment
2010,"9,920",Transport equipment
,,Transport equipment
2011,"10,506",Transport equipment
,,Transport equipment
2012,"8,800",Transport equipment
,,Transport equipment
2013,"9,434",Transport equipment
,,Transport equipment
2014,"8,554",Transport equipment
,,Transport equipment
2015,"8,514",Transport equipment
,,Transport equipment
2016,"9,983",Transport equipment
,,Transport equipment
2017,"8,600",Transport equipment
,,Transport equipment
2018,"9,269",Transport equipment
,,Transport equipment
2019,"8,088",Transport equipment
,,Transport equipment
2020,"7,727",Transport equipment
,,Transport equipment
2021,"9,078",Transport equipment
,,Transport equipment
2022,"6,653",Transport equipment
,,Transport equipment
2008,"2,493",Furniture
,,Furniture
2009,"2,269",Furniture
,,Furniture
2010,"3,116",Furniture
,,Furniture
2011,"3,275",Furniture
,,Furniture
2012,"3,304",Furniture
,,Furniture
2013,"2,304",Furniture
,,Furniture
2014,"2,433",Furniture
,,Furniture
2015,"3,336",Furniture
,,Furniture
2016,"3,772",Furniture
,,Furniture
2017,"2,443",Furniture
,,Furniture
2018,"3,205",Furniture
,,Furniture
2019,"3,565",Furniture
,,Furniture
2020,"2,900",Furniture
,,Furniture
2021,"3,073",Furniture
,,Furniture
2022,"2,885",Furniture
,,Furniture
2008,"23,517",Secondary raw materials
,,Secondary raw materials
2009,"23,466",Secondary raw materials
,,Secondary raw materials
2010,"47,804",Secondary raw materials
,,Secondary raw materials
2011,"40,591",Secondary raw materials
,,Secondary raw materials
2012,"39,706",Secondary raw materials
,,Secondary raw materials
2013,"46,647",Secondary raw materials
,,Secondary raw materials
2014,"44,204",Secondary raw materials
,,Secondary raw materials
2015,"43,941",Secondary raw materials
,,Secondary raw materials
2016,"44,352",Secondary raw materials
,,Secondary raw materials
2017,"42,317",Secondary raw materials
,,Secondary raw materials
2018,"40,059",Secondary raw materials
,,Secondary raw materials
2019,"40,452",Secondary raw materials
,,Secondary raw materials
2020,"34,827",Secondary raw materials
,,Secondary raw materials
2021,"38,055",Secondary raw materials
,,Secondary raw materials
2022,"32,236",Secondary raw materials
,,Secondary raw materials
2008,0,"Mail, parcels"
,,"Mail, parcels"
2009,0,"Mail, parcels"
,,"Mail, parcels"
2010,792,"Mail, parcels"
,,"Mail, parcels"
2011,"1,022","Mail, parcels"
